sigma,role,decision,count,first_index
INJ0001,X,ALLOW_RESTRICTED,0,-1
INJ0002,X,ALLOW_RESTRICTED,0,-1
INJ0003,X,ALLOW_RESTRICTED,0,-1
INJ0004,X,ALLOW_RESTRICTED,0,-1
INJ0005,X,ALLOW_RESTRICTED,0,-1
INJ0006,X,ALLOW_RESTRICTED,0,-1
INJ0007,X,ALLOW_RESTRICTED,0,-1
INJ0008,X,ALLOW_RESTRICTED,0,-1
INJ0009,X,ALLOW_RESTRICTED,0,-1
INJ0010,X,ALLOW_RESTRICTED,0,-1
INJ0011,X,ALLOW_RESTRICTED,0,-1
INJ0012,X,ALLOW_RESTRICTED,0,-1
INJ0013,X,ALLOW_RESTRICTED,0,-1
INJ0014,X,ALLOW_RESTRICTED,0,-1
INJ0015,X,ALLOW_RESTRICTED,0,-1
INJ0016,X,ALLOW_RESTRICTED,0,-1
INJ0017,X,ALLOW_RESTRICTED,0,-1
INJ0018,X,ALLOW_RESTRICTED,0,-1
INJ0019,X,ALLOW_RESTRICTED,0,-1
INJ0020,X,ALLOW_RESTRICTED,0,-1
INJ0021,X,ALLOW_RESTRICTED,0,-1
INJ0022,X,ALLOW_RESTRICTED,0,-1
INJ0023,X,ALLOW_RESTRICTED,0,-1
INJ0024,X,ALLOW_RESTRICTED,0,-1
INJ0025,X,ALLOW_RESTRICTED,0,-1
INJ0026,X,ALLOW_RESTRICTED,0,-1
INJ0027,X,ALLOW_RESTRICTED,0,-1
INJ0028,X,ALLOW_RESTRICTED,0,-1
INJ0029,X,ALLOW_RESTRICTED,0,-1
INJ0030,X,ALLOW_RESTRICTED,0,-1
INJ0031,X,ALLOW_RESTRICTED,0,-1
INJ0032,X,ALLOW_RESTRICTED,0,-1
INJ0033,X,ALLOW_RESTRICTED,0,-1
INJ0034,X,ALLOW_RESTRICTED,0,-1
INJ0035,X,ALLOW_RESTRICTED,0,-1
INJ0036,X,ALLOW_RESTRICTED,0,-1
INJ0037,X,ALLOW_RESTRICTED,0,-1
INJ0038,X,ALLOW_RESTRICTED,0,-1
INJ0039,X,ALLOW_RESTRICTED,0,-1
INJ0040,X,ALLOW_RESTRICTED,0,-1
INJ0041,X,ALLOW_RESTRICTED,0,-1
INJ0042,X,ALLOW_RESTRICTED,0,-1
INJ0043,X,ALLOW_RESTRICTED,0,-1
INJ0044,X,ALLOW_RESTRICTED,0,-1
INJ0045,X,ALLOW_RESTRICTED,0,-1
INJ0046,X,ALLOW_RESTRICTED,0,-1
INJ0047,X,ALLOW_RESTRICTED,0,-1
INJ0048,X,ALLOW_RESTRICTED,0,-1
INJ0049,X,ALLOW_RESTRICTED,0,-1
INJ0050,X,ALLOW_RESTRICTED,0,-1
